"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,total_raw_score,awareness_score
Neurologist,No,Immediately,yes,yes,yes,yes,41-60,Female,other,not_specified,family/friend,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,4,0,2,1,1,0,1,0,0,3,0,0,0,45,3.88
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"6,00,001 - 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,0,0,0,1,0,0,0,0,0,0,0,14,1.21
Physician,Yes,Within a week,yes,yes,yes,yes,60+,Male,high school,not_specified,doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,vision_problems,diabetes_or_obesity,no_response,0,1,0,1,1,0,1,0,0,0,1,1,0,23,1.98
Physician,No,Immediately,no,no,no,yes,60+,Male,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,0,2,1,0,0,0,0,0,0,12,1.03
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,undergraduate,"2,00,001 - 4,00,000",family/friend,after_few_days_(2-3days_or_week),other,"speech_or_confusion,vision_problems,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",no_response,0,1,2,1,1,0,1,0,0,0,2,2,0,35,3.02
Physician,Yes,Within a day,maybe,maybe,maybe,maybe,41-60,Male,high school,"4,00,001 - 6,00,000",family/friend,after_few_days_(2-3days_or_week),other,paralysis_or_weakness,smoking_or_alcohol_or_drugs,no_response,0,1,0,0,0,1,0,0,0,0,1,1,0,13,1.12
Physician,No,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",family/friend,after_few_days_(2-3days_or_week),other,no_response,Unaware,no_response,0,0,2,1,1,0,1,0,0,0,0,0,0,18,1.55
Physician,No,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",family/friend,no_response,doctor_or_specialist,no_response,Unaware,no_response,0,0,2,1,1,0,1,0,0,0,0,0,0,18,1.55
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,not_specified,family/friend,immediately,hospital_or_medical_centre,"paralysis_or_weakness,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",avoid_food_or_drink_sleep,0,1,2,1,1,0,1,0,2,3,1,2,0,57,4.91
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",emergency_services,immediately,emergency_services,"dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",other,0,1,2,1,1,0,1,4,2,4,0,2,0,79,6.81
Physician,No,I would not consult a specialist,no,yes,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,1,2,0,0,0,0,0,0,0,9,0.78
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",no_response,immediately,doctor_or_specialist,"speech_or_confusion,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",no_response,0,1,2,1,1,0,1,0,2,0,2,2,0,45,3.88
Orthopedic,Yes,Immediately,no,no,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,1,2,0,0,2,0,0,0,0,0,0,0,15,1.29
Physician,No,Within a day,no,maybe,maybe,maybe,60+,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,No,Other,no,no,no,no,41-60,Male,high school,"4,00,001 - 6,00,000",family/friend,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,2,3,0,0,0,29,2.5
Physician,No,Within a day,maybe,yes,maybe,no,60+,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0.6
Physician,No,Within a day,no,no,maybe,no,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,unaware,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,not_specified,family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,speech_or_confusion,"diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,0,1,2,1,1,0,1,0,0,0,1,2,0,32,2.76
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",emergency_services,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",keep_the_person_calm,0,1,2,1,1,0,1,4,2,3,3,2,0,83,7.16
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"2,00,001 - 4,00,000",family/friend,after_few_days_(2-3days_or_week),other,"vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, age_or_family_history_of_stroke_gender",no_response,0,1,2,1,1,0,1,0,0,0,1,1,0,29,2.5
