"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Neurologist,No,Within a day,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response,4,0,1,1,1,0,0,3,39,6.19
Physician,No,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,0,1,1,1,0,0,3,27,4.29
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,4,0,0,0,0,1,0,0,14,2.22
Neurologist,Yes,Within a day,yes,yes,yes,yes,60+,Male,speciality,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,maybe,maybe,maybe,no,60+,Male,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Orthopedic,No,Within a week,maybe,no,no,maybe,15-25,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,maybe,maybe,maybe,maybe,15-25,Male,undergraduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,2,1,1,1,1,0,0,3,38,6.03
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Orthopedic,Yes,Within a day,yes,yes,yes,yes,15-25,Male,undergraduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,"6,00,001 - 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,undergraduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Neurologist,No,Within a week,maybe,no,maybe,no,41-60,Female,graduate,"4,00,001 - 6,00,000",Hospital,Unknown,Unknown /No Response,Unaware,Unaware,No response,4,0,0,0,0,1,0,0,14,2.22
Physician,No,Within a week,maybe,no,maybe,no,60+,Male,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",other,4,1,1,1,1,0,0,3,44,6.98
Physician,No,Within a week,yes,maybe,yes,maybe,26-40,Male,other,"6,00,001 - 8,00,000",Family/Friend,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,1,0,0,0,0,0,5,0.79
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",Keep the Person Calm,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,undergraduate,"4,00,001 - 6,00,000",Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,"4,00,001 - 6,00,000",Hospital,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Orthopedic,Yes,Immediately,yes,yes,yes,yes,60+,Male,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",Call Emergency Services,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,undergraduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",other,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,yes,yes,yes,yes,60+,Female,graduate,"Above 8,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,1,1,1,0,0,0,12,1.9
Physician,No,Within a day,no,yes,maybe,yes,15-25,Female,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,1,1,1,0,3,24,3.81
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,maybe,maybe,maybe,maybe,41-60,Female,other,"2,00,001 - 4,00,000",Hospital,Unknown,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,No,Within a week,maybe,no,maybe,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,Unaware / No Idea,0,0,0,0,0,1,0,0,2,0.32
Orthopedic,No,Immediately,yes,yes,yes,yes,60+,Male,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",Call Emergency Services,0,0,1,1,1,0,0,3,27,4.29
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,speciality,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Immediately,maybe,maybe,no,maybe,26-40,Male,high school,"Above 8,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Male,high school,"4,00,001 - 6,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response,0,1,1,1,1,0,0,0,17,2.7
Physician,No,Within a month,maybe,maybe,maybe,maybe,15-25,Male,graduate,Not Specified,Doctor,Unaware,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Neurologist,No,Within a month,no,no,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,4,0,0,0,0,2,0,0,16,2.54
Neurologist,No,Within a day,no,no,no,no,41-60,Male,high school,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,4,0,0,0,0,2,0,0,16,2.54
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",Call Emergency Services,0,1,1,1,1,0,0,3,32,5.08
Neurologist,Yes,Immediately,yes,yes,yes,yes,60+,Male,graduate,Not Specified,Doctor,After Checkup  or medical tests,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Orthopedic,No,Within a week,maybe,maybe,no,maybe,60+,Male,high school,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Male,graduate,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs",other,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a week,maybe,maybe,maybe,maybe,60+,Male,other,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,4,1,1,1,1,0,0,3,44,6.98
Physician,No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Orthopedic,No,Within a week,maybe,no,no,no,60+,Male,undergraduate,"4,00,001 - 6,00,000",Hospital,Unaware,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,2,0,3,19,3.02
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Male,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",Keep the Person Calm,0,1,1,1,1,0,0,3,32,5.08
Physician,No,Within a day,no,no,no,no,15-25,Male,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,No,Within a week,no,no,no,no,41-60,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,No,Within a week,no,no,no,no,41-60,Female,undergraduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,No,Within a day,no,maybe,no,maybe,15-25,Male,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Within a day,yes,yes,yes,yes,60+,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,3,32,5.08
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,Not Specified,Unknown,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response,2,0,0,0,0,1,0,3,23,3.65
Physician,No,Within a day,maybe,no,no,no,15-25,Female,graduate,Not Specified,Doctor,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender",Keep the Person Calm,0,1,1,1,1,0,0,0,17,2.7
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",Family/Friend,After Checkup  or medical tests,Hospital /Medical Centre,Unaware,Unaware,No response,0,0,0,0,0,1,0,3,17,2.7
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,Not Specified,Doctor,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",No response,0,1,1,1,1,0,0,0,17,2.7
